Pseudolabrus guentheri,Animalia;Chordata;Teleostei;Eupercaria/misc;Labridae;Pseudolabrus;guentheri,
Pseudolabrus miles,Animalia;Chordata;Teleostei;Eupercaria/misc;Labridae;Pseudolabrus;miles,
Pseudolabrus sieboldi,Animalia;Chordata;Teleostei;Eupercaria/misc;Labridae;Pseudolabrus;sieboldi,
Pictilabrus laticlavius,Animalia;Chordata;Teleostei;Eupercaria/misc;Labridae;Pictilabrus;laticlavius,
Austrolabrus maculatus,Animalia;Chordata;Teleostei;Eupercaria/misc;Labridae;Austrolabrus;maculatus,
Eupetrichthys angustipes,Animalia;Chordata;Teleostei;Eupercaria/misc;Labridae;Eupetrichthys;angustipes,
Clariger cosmurus,Animalia;Chordata;Teleostei;Gobiiformes;Gobiidae;Clariger;cosmurus,
Luciogobius grandis,Animalia;Chordata;Teleostei;Gobiiformes;Gobiidae;Luciogobius;grandis,
Luciogobius elongatus,Animalia;Chordata;Teleostei;Gobiiformes;Gobiidae;Luciogobius;elongatus,
Luciogobius pallidus,Animalia;Chordata;Teleostei;Gobiiformes;Gobiidae;Luciogobius;pallidus,
Pagrus auriga,Animalia;Chordata;Teleostei;Eupercaria/misc;Sparidae;Pagrus;auriga,
Pegusa lascaris,Animalia;Chordata;Teleostei;Pleuronectiformes;Soleidae;Pegusa;lascaris,
Solea senegalensis,Animalia;Chordata;Teleostei;Pleuronectiformes;Soleidae;Solea;senegalensis,
Solea solea,Animalia;Chordata;Teleostei;Pleuronectiformes;Soleidae;Solea;solea,
Synapturichthys kleinii,Animalia;Chordata;Teleostei;Pleuronectiformes;Soleidae;Synapturichthys;kleinii,
Microchirus azevia,Animalia;Chordata;Teleostei;Pleuronectiformes;Soleidae;Microchirus;azevia,
Microchirus boscanion,Animalia;Chordata;Teleostei;Pleuronectiformes;Soleidae;Microchirus;boscanion,
Monochirus hispidus,Animalia;Chordata;Teleostei;Pleuronectiformes;Soleidae;Monochirus;hispidus,
Dicologlossa cuneata,Animalia;Chordata;Teleostei;Pleuronectiformes;Soleidae;Dicologlossa;cuneata,
Dicologlossa hexophthalma,Animalia;Chordata;Teleostei;Pleuronectiformes;Soleidae;Dicologlossa;hexophthalma,
Dagetichthys lusitanica,Animalia;Chordata;Teleostei;Pleuronectiformes;Soleidae;Dagetichthys;lusitanica,
Platichthys flesus,Animalia;Chordata;Teleostei;Pleuronectiformes;Pleuronectidae;Platichthys;flesus,
Trichiurus sp. 2-Nakabo,Animalia;Chordata;Teleostei;Scombriformes;Trichiuridae;Trichiurus,
Cycleptus elongatus,Animalia;Chordata;Teleostei;Cypriniformes;Catostomidae;Cycleptus;elongatus,
Carpiodes carpio,Animalia;Chordata;Teleostei;Cypriniformes;Catostomidae;Carpiodes;carpio,
Trichiurus sp. 1-Nakabo,Animalia;Chordata;Teleostei;Scombriformes;Trichiuridae;Trichiurus,
Lepturacanthus sp. ZRC 48649,Animalia;Chordata;Teleostei;Scombriformes;Trichiuridae;Lepturacanthus ,
Notemigonus crysoleucas,Animalia;Chordata;Teleostei;Cypriniformes;Leuciscidae;Notemigonus;crysoleucas,
Catostomus commersonii,Animalia;Chordata;Teleostei;Cypriniformes;Catostomidae;Catostomus;commersonii,
Pentaceros wheeleri,Animalia;Chordata;Teleostei;Acropomatiformes;Pentacerotidae;Pentaceros;wheeleri,
Pentaceros japonicus,Animalia;Chordata;Teleostei;Acropomatiformes;Pentacerotidae;Pentaceros;japonicus,
Reinhardtius hippoglossoides,Animalia;Chordata;Teleostei;Pleuronectiformes;Pleuronectidae;Reinhardtius;hippoglossoides,
Lepomis macrochirus,Animalia;Chordata;Teleostei;Centrarchiformes;Centrarchidae;Lepomis;macrochirus,
Cypselurus hiraii,Animalia;Chordata;Teleostei;Beloniformes;Exocoetidae;Cypselurus;hiraii,
Thunnus orientalis,Animalia;Chordata;Teleostei;Scombriformes;Scombridae;Thunnus;orientalis,
Cottus kazika,Animalia;Chordata;Teleostei;Perciformes/Cottoidei;Cottidae;Cottus;kazika,
